x1,x2,x3,x4,x5,x6,x7,x8,x9,class
0.36152277491407514,0.480480665601294,0.4169526266056648,0.4467592537839232,3,2,1,1,0,1
0.2965973638150371,0.8149111593891929,0.6667150642123111,0.9516811649755704,4,2,0,1,4,1
0.25350600496212594,0.8935407039073096,0.8076368242952832,0.6674189689081609,0,3,3,4,2,1
0.985429914476987,0.7826513969137533,0.3617825899886715,0.42028125962484786,0,2,3,3,4,1
0.6430223522504103,0.9483835441071127,0.2930219961610101,0.04400660308300541,0,0,4,2,1,1
0.48988650109253373,0.30887421447216035,0.3164079074627333,0.45359755356410103,1,3,0,3,3,1
0.013987928023676544,0.8398858493199811,0.6989998280684522,0.12294000725646614,4,0,3,0,1,0
0.7070802840013918,0.9195265651212379,0.8967663002703258,0.033026706719544,0,3,4,2,3,1
0.5111224179603767,0.9527660147386598,0.7828228375365307,0.6554031880943525,0,1,2,0,0,1
0.5417427131646487,0.2431330830539683,0.3943143310068624,0.04659613161350529,0,0,3,1,2,0
0.23964509500672493,0.5821114183302222,0.23891875539275487,0.24444246976810569,0,0,1,2,3,1
0.4069920930160912,0.4049851928983398,0.8836121539045266,0.466403390919816,2,0,0,0,1,1
0.4275835504171427,0.25536666009526743,0.9671928622040482,0.3842208020634277,1,0,3,0,2,0
0.11587891322207566,0.4339932958870435,0.8405217856146225,0.23753894959301647,1,3,3,4,1,1
0.395542287711807,0.36231447508507675,0.4960750104911238,0.1741452728249978,3,1,3,0,3,0
0.3046581638787992,0.29495771210066113,0.12375645225875576,0.0762027036508367,2,3,1,4,3,1
0.20914929799347703,0.4419933147910392,0.13353196151791136,0.5533953836525549,0,2,0,3,0,1
0.8063079826272143,0.7278808039064084,0.05245940024669482,0.3348359281691494,1,0,2,3,2,0
0.39117534506901885,0.22296714924903271,0.4541169271608725,0.7183697969695598,0,1,2,3,4,1
0.6231103331101708,0.0554779639041898,0.9023506540075975,0.022926266388858862,0,1,4,1,1,1
0.5036053120260648,0.8454487668576254,0.8540830577842401,0.6628056751690611,2,4,0,4,4,0
0.7982496604632079,0.5106972602786355,0.21866396420841572,0.5805266758886428,2,1,3,1,0,1
0.18962269293116052,0.0919289360290586,0.37381652541781174,0.28676088897460117,0,1,0,1,4,1
0.6888389196839683,0.6906283432061843,0.720741711170634,0.7612157928187957,2,1,4,3,0,1
0.1820840011132564,0.0898412425933548,0.07880809071237593,0.0326555488566157,1,1,1,1,3,0
0.04262432271886829,0.35433318551769866,0.682115717715584,0.4030514539032216,2,0,4,3,4,1
0.19352020586761343,0.7429786431872635,0.3742441641765981,0.01695339637832005,1,0,1,3,3,1
0.8857248036821577,0.05473956907945854,0.21168197253611432,0.7732095102381221,4,2,0,4,3,1
