x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,class
0.987483,3.6706e-05,0.0,0.0,1.8353e-05,0.0,0,0,0.0,0.000385413,0.000275295,0,0.0,0.00559767,1.8353e-05,0.0,0.0,3.6706e-05,0.0,0.0,0,0.0,7.3412e-05,0.000146824,0.0,0.0,0.00592802,0
0.998873,4.0235e-05,0.0,0.0,4.0235e-05,0.0,0,0,0.0,0.0,0.0,0,0.000201175,0.000844934,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.993643,0.0,0.0,2.29914e-05,0.0,0.0,0,0,0.0,0.0010806,1.14957e-05,0,0.00105761,0.00318431,0.0,0.0,1.14957e-05,0.0,0.0,0.0,0,0.0,5.74785e-05,0.0,0.0,0.000310384,0.000620768,2
0.997405,0.000103803,0.0,0.0,0.0,0.0,0,0,0.0,0.000290649,0.0,0,0.000103803,0.00186846,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.000228367,0.0,0.0,0.0,0.0,3
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.98952,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.000800524,0.0,0,0.00014555,0.00582199,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.00014555,0.0,0.0,0.0002911,0.00327487,6
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8
0.753178,0.0,0.0,0.000623879,0.0,0.0,0,0,0.0,0.0778289,0.00491305,0,0.0279186,0.105436,0.0,0.0,7.79849e-05,7.79849e-05,0.0,0.0,0,0.0,0.00272947,0.0,0.0,0.00202761,0.0251891,9
0.955843,0.032081,0.0,0.0,7.3412e-05,0.0,0,0,0.0,9.1765e-05,0.000128471,0,0.0,0.00568943,5.5059e-05,0.0,0.0,0.000165177,0.0,0.0,0,0.0,1.8353e-05,0.000128471,0.0,1.8353e-05,0.00570778,0
0.998511,8.04699e-05,0.0,0.0,0.000120705,0.0,0,0,0.0,0.0,4.0235e-05,0,4.0235e-05,0.00120705,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.993241,3.44871e-05,0.0,0.000275897,5.74785e-05,0.0,0,0,0.0,0.000827691,3.44871e-05,0,0.000735725,0.00387405,0.0,0.0,1.14957e-05,2.29914e-05,0.0,0.0,0,0.0,0.0,1.14957e-05,0.0,0.000126453,0.000747221,2
0.996014,0.00091347,0.0,0.000186846,0.000207607,0.0,0,0,0.0,0.000124564,0.0,0,0.00031141,0.00220063,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.15213e-05,0.0,0.0,0.0,0.0,3
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.989593,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.000800524,0.0,0,0.00014555,0.00611309,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.00014555,0.0,0.0,0.0002911,0.002911,6
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8
0.671918,0.00132574,0.0,0.0280746,0.00421118,0.0,0,0,0.0,0.0468689,0.00288544,0,0.0383686,0.173126,0.0,0.0,0.000779849,0.000701864,0.0,0.0,0,0.0,0.00218358,0.0,0.0,0.00179365,0.0277626,9
0.989208,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.000789179,0.0,0,0.00102777,0.0030466,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.000844238,0.0,0.0,0.00269789,0.00238589,0
0.999517,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4.0235e-05,0.0,0,0.000120705,0.00032188,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
