x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,class
0.7838323508057506,0.6348337060527302,0.24904309151574888,0.7580758646498177,0.3130769356316798,0.9372373574883975,0.0,0.0,1.0,1.0,0.0,0.0,1.0
0.39406217569650925,0.05005950819703875,0.22944846382688233,0.18244083288988433,0.7816713707622125,0.2900911848672998,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.3236658269006706,0.10407439731328827,0.802108046853447,0.39483194918011777,0.6277680882341897,0.03598854359970072,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.04765321960403324,0.37221107780612517,0.2624151964281971,0.9905262064126861,0.39514534810306035,0.3075392625990663,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.4288161475798129,0.4587603531010451,0.2680001723390101,0.622437268223095,0.3811732874488374,0.4334223930730221,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.4134676989092595,0.8672704746766012,0.5355211867316955,0.8786717058958374,0.09317390551951288,0.7395613272342928,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.7174537484690761,0.5194773916582273,0.11721816785341321,0.7978394716615028,0.4398783900332216,0.45617502570740576,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0.018190002371408664,0.7896124283873358,0.0698217310543745,0.6589480446994391,0.1248870657307869,0.0949415775824467,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0.6983438425398526,0.14760990474687974,0.8707845362066596,0.5139862168749165,0.4248002562289217,0.01896837827374731,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.9466241288576691,0.3458034276780333,0.40732889294799735,0.8289264308048582,0.714015396668201,0.4865717713021802,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.5786546824525314,0.448385693659916,0.5765129545869833,0.31109721172394855,0.6520713615084167,0.09095060145023293,0.0,1.0,0.0,0.0,0.0,1.0,1.0
0.5721711866331071,0.8107133531462104,0.4665833805294878,0.6242915820414272,0.5576676270906764,0.33225550703369766,0.0,0.0,1.0,1.0,0.0,0.0,1.0
0.7912260087487818,0.9899610743850145,0.23130759729283878,0.9353855375592475,0.20004209914087756,0.4312447837850416,0.0,0.0,1.0,1.0,0.0,0.0,1.0
0.7047670090573651,0.6153886133110974,0.6125108872284635,0.2521886178143725,0.22745020746275335,0.5881677621218273,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.023190708043028252,0.12294007147336927,0.448837582581218,0.31889246248048353,0.4864262636583516,0.007611268721885667,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.4300780978596026,0.7875865733660105,0.23985188369766652,0.20694776650990865,0.08351630936716758,0.013131545706038361,1.0,0.0,0.0,0.0,1.0,0.0,0.0
